model,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_average_precision
ExtraTreesClassifier,88.38155016899108,0.785256814956665,0.9995654940858918,0.9590366104510821,0.7789183872009579,0.859367183663051,0.7474933267179412
XGBClassifier,11.550482940673827,0.04627537727355957,0.9995391603941275,0.9503885097952894,0.7718863186999299,0.8516436364308099,0.734101503506736
LinearSVC,50.056237411499026,0.02484607696533203,0.9993021571682504,0.8192356075890214,0.7630288427453977,0.7889668489199811,0.6255940318094946
