model,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_average_precision
LogisticRegressionCV,0.6029361248016357,0.0028005599975585,0.9390792550189472,0.9822321958357684,0.8959953102792759,0.9369294216053916,0.9320163471009032
ExtraTreesClassifier,0.0998225688934326,0.010002326965332,0.9378214947996452,0.9922700421940928,0.8827173479315462,0.9341944128109138,0.9342077040287848
XGBClassifier,0.0458101749420166,0.0058013916015625,0.9352656615335,0.9539719478582664,0.9150899610385534,0.933484186837128,0.914320670709142
SVC,0.0250058650970458,0.0048008918762207,0.9327420785293882,0.9892813852813852,0.875502082576746,0.9288741231961456,0.9282735555328592
LinearSVC,0.0112025737762451,0.0022005081176757,0.9301943078287512,0.9635700768395932,0.8963013078312956,0.9285120510016378,0.9156068602888414
